gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
IL17D	0	0	0	0	0	0	0	0	0	0.833840679344934	0.976474132420288	0.977818788350302	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752157597775	0.999999619868951
GFUS	0	0	0	0	0	0	0	0	0	0.840207484021581	0.947869717483549	0.977818853857328	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752159067155	0.999999619868951
LDHAL6B	0	0	0	0	0	0	0	0	0	0.835962886009366	0.964157776554266	0.977819769035897	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752179594958	0.999999619868951
LEF1	0	0	0	0	0	0	0	0	0	0.838853368602689	0.952465198153966	0.97782345713081	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752262311644	0.999999619868951
NODAL	0	0	0	0	0	0	0	0	0	0.836878012113542	0.960150548418529	0.977826659529992	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.99975233412385	0.999999619868951
SIX1	0	0	0	0	0	0	0	0	0	0.837052471155726	0.959426746005541	0.977827503757511	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752353053485	0.999999619868951
TSPAN32	0	0	0	0	0	0	0	0	0	0.839006219631121	0.951990886239619	0.977827943105021	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752362904437	0.999999619868951
SDS	0	0	0	0	0	0	0	0	0	0.837302654399819	0.95843904997436	0.977830396281709	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752417905387	0.999999619868951
GPR84	0	0	0	0	0	0	0	0	0	0.837676032041906	0.957034117157522	0.977836250582182	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752549135676	0.999999619868951
HP	0	0	0	0	0	0	0	0	0	0.838508121523412	0.953928334412235	0.9778393727371	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752619107724	0.999999619868951
PIGK	0	0	0	0	0	0	0	0	0	0.840724068220342	0.946526116112646	0.977841101011761	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752657836595	0.999999619868951
ACAT1	0	0	0	0	0	0	0	0	0	0.840113102646809	0.948489205015949	0.977843756334171	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752717333708	0.999999619868951
RTN4IP1	0	0	0	0	0	0	0	0	0	0.841749031219252	0.94350566485357	0.977845404972944	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752754270697	0.999999619868951
HYI	0	0	0	0	0	0	0	0	0	0.841494851863475	0.944250024980168	0.97784541312285	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752754453285	0.999999619868951
RAD51C	0	0	0	0	0	0	0	0	0	0.841458679517559	0.944368628839861	0.977846406122124	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752776699624	0.999999619868951
CTSZ	0	0	0	0	0	0	0	0	0	0.836507513327193	0.96211113598825	0.977846460644546	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752777921071	0.999999619868951
LRRC73	0	0	0	0	0	0	0	0	0	0.835947725168009	0.964733753011	0.97784681670402	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752785897669	0.999999619868951
SELPLG	0	0	0	0	0	0	0	0	0	0.835723018805662	0.965958754161044	0.977852759122281	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752919003154	0.999999619868951
PRB2	0	0	0	0	0	0	0	0	0	0.842117348891333	0.94253488216477	0.977853103153751	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752926708082	0.999999619868951
ERVV-1	0	0	0	0	0	0	0	0	0	0.836717971481139	0.961336687941994	0.97785589411089	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999752989209877	0.999999619868951
AIMP2	0	0	0	0	0	0	0	0	0	0.835435727702631	0.967788088143127	0.977869781401312	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753300088907	0.999999619868951
CASQ2	0	0	0	0	0	0	0	0	0	0.839334011781008	0.951454216414741	0.977871795009753	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753345148905	0.999999619868951
STARD10	0	0	0	0	0	0	0	0	0	0.837939178274154	0.956589817508914	0.977874533842314	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753406431122	0.999999619868951
PDGFRL	0	0	0	0	0	0	0	0	0	0.837532536139884	0.95822460012266	0.977875848475027	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753435843706	0.999999619868951
HOXA9	0	0	0	0	0	0	0	0	0	0.835351478789881	0.968454618121627	0.977880000329045	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753528722501	0.999999619868951
TSG101	0	0	0	0	0	0	0	0	0	0.840368228088175	0.948138189233996	0.977880469042888	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753539206728	0.999999619868951
DAP3	0	0	0	0	0	0	0	0	0	0.840356966647238	0.94819333478284	0.977881970774689	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753572796066	0.999999619868951
COQ4	0	0	0	0	0	0	0	0	0	0.837927342174361	0.956756733571548	0.977882458465631	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753583703786	0.999999619868951
DAW1	0	0	0	0	0	0	0	0	0	0.842060438107095	0.943042060122409	0.977882996687471	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753595741401	0.999999619868951
ZNF723	0	0	0	0	0	0	0	0	0	0.839696742569602	0.950423794588495	0.977886937755869	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753683876445	0.999999619868951
HACD3	0	0	0	0	0	0	0	0	0	0.842301786784144	0.942419488448117	0.977888835067236	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753726300803	0.999999619868951
DPAGT1	0	0	0	0	0	0	0	0	0	0.838654533103751	0.954115748101246	0.977889697623383	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753745586558	0.999999619868951
PEX13	0	0	0	0	0	0	0	0	0	0.838841291417064	0.953441393067032	0.977889969189343	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753751658301	0.999999619868951
FCRL6	0	0	0	0	0	0	0	0	0	0.840319447285919	0.948431254675075	0.977891178632804	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753778698436	0.999999619868951
ZNF773	0	0	0	0	0	0	0	0	0	0.840670088522743	0.947317103507136	0.977891228206056	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753779806738	0.999999619868951
ORC4	0	0	0	0	0	0	0	0	0	0.842792828567429	0.941089186768504	0.97789288181137	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753816774719	0.999999619868951
TAF1A	0	0	0	0	0	0	0	0	0	0.840603994641741	0.947547075524054	0.977892968318964	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753818708605	0.999999619868951
MMAA	0	0	0	0	0	0	0	0	0	0.841704651137707	0.944233165010262	0.977896310990335	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753893428492	0.999999619868951
ZNF575	0	0	0	0	0	0	0	0	0	0.835857072818727	0.9662032806699	0.977900074014412	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753977530996	0.999999619868951
AZIN1	0	0	0	0	0	0	0	0	0	0.840138127189772	0.949140257327931	0.977900583877861	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999753988925184	0.999999619868951
CPPED1	0	0	0	0	0	0	0	0	0	0.837841163668324	0.957422944991535	0.977903702674628	1	0.939191584659608	0.988697693587534	0.99888097502269	1	0.999754058616793	0.999999619868951
