gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
B3GLCT	0	0	0	0	0	0	0	0	0	0.769696159101758	0.916647429598243	0.952815071190094	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998868857201407	0.999999691626581
CTPS1	0	0	0	0	0	0	0	0	0	0.767848194030463	0.92225991959389	0.952818894248731	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998869041979148	0.999999691626581
LRRC31	0	0	0	0	0	0	0	0	0	0.767579788275129	0.923142232022151	0.952822720047176	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998869226873955	0.999999691626581
HABP4	0	0	0	0	0	0	0	0	0	0.764270132569404	0.934639977625537	0.952822987624021	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998869239804947	0.999999691626581
MRGPRD	0	0	0	0	0	0	0	0	0	0.759934366908771	0.954421331650352	0.952829820224359	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998869569973615	0.999999691626581
CRTC1	0	0	0	0	0	0	0	0	0	0.76194765496746	0.944393561316113	0.952834573103945	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998869799615978	0.999999691626581
GSX2	0	0	0	0	0	0	0	0	0	0.759354187084092	0.957876347542626	0.952834906297641	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998869815713832	0.999999691626581
MAGEA11	0	0	0	0	0	0	0	0	0	0.76492371417455	0.932346807235178	0.952838100914778	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998869970052014	0.999999691626581
TMPPE	0	0	0	0	0	0	0	0	0	0.75910469491271	0.959718961935592	0.952853030081295	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998870691167175	0.999999691626581
KIR2DL4	0	0	0	0	0	0	0	0	0	0.763851717841998	0.936572289235412	0.952853146212892	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998870696775697	0.999999691626581
SDS	0	0	0	0	0	0	0	0	0	0.762888530273421	0.940612126308816	0.952863576467509	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998871200442371	0.999999691626581
PRPF19	0	0	0	0	0	0	0	0	0	0.764828243021739	0.933033292230025	0.952871931327185	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998871603807921	0.999999691626581
CAVIN1	0	0	0	0	0	0	0	0	0	0.758099212866183	0.967213366111065	0.952876554489379	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998871826978793	0.999999691626581
SP2	0	0	0	0	0	0	0	0	0	0.761724178155183	0.946017736040442	0.952883511447325	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998872162765181	0.999999691626581
PID1	0	0	0	0	0	0	0	0	0	0.762415575093644	0.943016378138913	0.952895173436831	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998872725531943	0.999999691626581
THRB	0	0	0	0	0	0	0	0	0	0.76397630274472	0.936574219783734	0.952900079086838	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998872962218782	0.999999691626581
TLX3	0	0	0	0	0	0	0	0	0	0.758223191113604	0.966741901314034	0.952901025521559	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998873007879272	0.999999691626581
OR4D10	0	0	0	0	0	0	0	0	0	0.760838196453187	0.950720341253741	0.952911321576529	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998873504548959	0.999999691626581
LILRB1	0	0	0	0	0	0	0	0	0	0.764443359783503	0.934882943728024	0.952911682258177	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998873521945804	0.999999691626581
CPNE1	0	0	0	0	0	0	0	0	0	0.76445899368373	0.934845011389433	0.952913819083297	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998873625009007	0.999999691626581
RNF130	0	0	0	0	0	0	0	0	0	0.764639905652587	0.93431690752623	0.952929556002379	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998874383883428	0.999999691626581
ZNF674	1	0	0	0	0	0	0	0	0	0.766652574755323	0.927184020457422	0.952935494607021	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998874670190567	0.999999691626581
TSPAN6	0	0	0	0	0	0	0	0	0	0.765717311398652	0.930467482581042	0.952939995750246	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998874887171338	0.999999691626581
SLC6A7	0	0	0	0	0	0	0	0	0	0.763913357850867	0.937341701426524	0.952949187813804	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998875330215178	0.999999691626581
OSGIN2	0	0	0	0	0	0	0	0	0	0.768773143149746	0.920510526806958	0.952951542250614	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998875443681278	0.999999691626581
IGFBP5	0	0	0	0	0	0	0	0	0	0.761622334880785	0.947398374004778	0.952955347696831	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998875627062792	0.999999691626581
BNIP5	0	0	0	0	0	0	0	0	0	0.767106138563838	0.925850274639527	0.952955764014983	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.99887564712392	0.999999691626581
OR2B2	0	0	0	0	0	0	0	0	0	0.763244945065526	0.940197464661253	0.952960733476576	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998875886573385	0.999999691626581
ZMAT4	0	0	0	0	0	0	0	0	0	0.769640208878385	0.918009118433464	0.952964362376243	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998876061412592	0.999999691626581
PELI3	0	0	0	0	0	0	0	0	0	0.761339771403307	0.948915268068636	0.952966130093231	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998876146575617	0.999999691626581
BCKDK	0	0	0	0	0	0	0	0	0	0.76213069714823	0.945191404999329	0.952970014109624	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998876333683751	0.999999691626581
SNAP47	0	0	0	0	0	0	0	0	0	0.763584515907372	0.938921843132579	0.952972613882418	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998876458916045	0.999999691626581
CYP26B1	0	0	0	0	0	0	0	0	0	0.759324776852804	0.96037538067037	0.952976791267119	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998876660127803	0.999999691626581
SLCO2B1	0	0	0	0	0	0	0	0	0	0.765091413723933	0.933168915546156	0.952983841769466	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998876999687256	0.999999691626581
NDRG4	0	0	0	0	0	0	0	0	0	0.767041896423409	0.926341971637576	0.952986725880273	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.99887713857397	0.999999691626581
PIWIL2	0	0	0	0	0	0	0	0	0	0.767124065512659	0.926112352726619	0.952991595255755	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998877373042918	0.999999691626581
PDIA2	0	0	0	0	0	0	0	0	0	0.762896070227786	0.942281244208953	0.953013239762685	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998878414962699	0.999999691626581
STARD3	0	0	0	0	0	0	0	0	0	0.766785496067716	0.927629884026718	0.953033432502405	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998879386554315	0.999999691626581
GGACT	0	0	0	0	0	0	0	0	0	0.758396716692215	0.968117854224658	0.953035048134653	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.99887946427341	0.999999691626581
TRIM29	0	0	0	0	0	0	0	0	0	0.762430792688489	0.944613637929256	0.953035706493941	1	0.933424016036939	0.988503080499225	0.99896660843649	1	0.998879495942634	0.999999691626581
