sample	min_cov	min_prop	bin	pass	bases	mean	11+	21+	31+	41+	51+	61+	71+	81+	91+	101+	111+	121+	131+	141+	151+
PD62047a	20	80	21+	true	50337604	70.6228	96.9600	89.3600	78.9100	67.9200	57.5200	48.1100	39.8500	32.7200	26.6700	21.6100	17.4600	14.0800	11.3300	9.1200	7.3400
PD62047b	20	80	21+	true	50337604	57.9249	96.5000	86.3900	73.1200	59.9300	47.9700	37.6600	29.1300	22.2500	16.8900	12.7900	9.6800	7.3500	5.6000	4.3000	3.3000
PD62047c	20	80	<11	false	50337604	1.1161	0.0500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD62047f	20	80	11+	false	50337604	40.2384	91.3000	72.6900	54.2500	38.9200	27.1500	18.6900	12.8300	8.8800	6.2200	4.4200	3.1700	2.3000	1.6800	1.2400	0.9100
PD62047g	20	80	41+	true	50337604	112.1450	98.5300	95.0900	89.6400	83.1000	76.1900	69.3000	62.5900	56.2000	50.1900	44.6100	39.5200	34.8800	30.7200	27.0100	23.7200
PD62047h	20	80	41+	true	50337604	121.0733	98.6400	95.6700	90.9200	85.0400	78.6400	72.1100	65.6700	59.4800	53.6300	48.1500	43.0900	38.4300	34.1700	30.3300	26.8800
PD62047i	20	80	<11	false	50337604	18.2094	64.4000	32.8800	15.7500	7.5000	3.6800	1.9100	1.0500	0.6100	0.3700	0.2400	0.1600	0.1100	0.0700	0.0500	0.0400
PD62048a	20	80	21+	true	50337604	71.2682	96.5300	87.6100	76.4000	65.2800	55.0100	45.8600	37.9100	31.1900	25.6100	21.0500	17.3400	14.3700	11.9700	10.0300	8.4500
PD62048b	20	80	11+	false	50337604	47.7282	92.9300	78.0400	62.0400	47.8300	36.1100	26.8500	19.7700	14.5300	10.6900	7.8800	5.8600	4.4000	3.3300	2.5400	1.9600
PD62048c	20	80	21+	true	50337604	60.6662	95.1600	83.7000	70.4000	57.9100	46.9000	37.5300	29.8300	23.6500	18.7900	15.0200	12.0900	9.8100	8.0200	6.6100	5.4800
PD62049a	20	80	11+	false	50337604	45.3891	90.9200	74.3300	57.8000	43.9400	33.0700	24.7700	18.4800	13.7800	10.2800	7.6800	5.7400	4.3000	3.2500	2.4600	1.8800
PD62049b	20	80	31+	true	50337604	94.0874	98.0800	93.7100	86.9700	79.1400	71.0900	63.2500	55.7800	48.7700	42.3100	36.4600	31.2700	26.7000	22.7100	19.2800	16.3400
PD62049c	20	80	11+	false	50337604	39.7789	88.2300	69.3200	51.4600	37.0800	26.3400	18.6600	13.3100	9.5800	7	5.1600	3.8500	2.9100	2.2100	1.7000	1.3100
PD62050a	20	80	31+	true	50337604	84.6863	97.6100	92.0400	83.9100	74.7100	65.5300	56.8600	48.9600	41.9300	35.7500	30.3800	25.7400	21.7500	18.3600	15.4600	13
PD62050b	20	80	<11	false	50337604	9.5926	33.9900	8.9600	2.5900	0.8900	0.3400	0.1500	0.0700	0.0300	0.0200	0.0100	0.0100	0	0	0	0
PD62050c	20	80	11+	false	50337604	48.5170	93.0900	78.2500	62.3400	48.3100	36.7400	27.5600	20.5000	15.1700	11.2600	8.4100	6.3300	4.8000	3.6700	2.8400	2.2100
PD62050d	20	80	21+	true	50337604	65.1623	95.4000	85.3300	73.2100	61.4800	50.9900	41.9100	34.2700	27.9000	22.6700	18.3700	14.8900	12.0900	9.8400	8.0300	6.5900
PD62051a	20	80	31+	true	50337604	89.6457	97.7500	92.1700	84.1900	75.4800	66.8700	58.6600	51.0200	44.0500	37.8100	32.3500	27.6000	23.5500	20.1100	17.1900	14.7300
PD62051b	20	80	21+	true	50337604	71.1215	96.3100	87.5200	76.5800	65.6400	55.4200	46.2400	38.2200	31.4400	25.8200	21.2200	17.5000	14.4800	12.0400	10.0400	8.4000
PD62051c	20	80	21+	true	50337604	67.8933	95.3600	85.2300	73.5300	62.1800	51.8600	42.8600	35.2400	28.9100	23.7600	19.5900	16.2200	13.4800	11.2700	9.4500	7.9600
PD62052a	20	80	21+	true	50337604	56.8284	97.1300	88.7900	76.4100	62.9900	50.2300	38.8000	29.1300	21.2600	15.1600	10.6100	7.3100	4.9800	3.3800	2.2900	1.5400
PD62052b	20	80	21+	true	50337604	70.9822	96.4600	88.1800	77.6700	67.0200	56.9100	47.7000	39.5400	32.5100	26.6000	21.6800	17.6400	14.3700	11.7400	9.6100	7.9000
PD62052c	20	80	31+	true	50337604	88.2645	98.0700	93.4100	86.2000	77.7400	69.1100	60.7600	52.8900	45.6200	39.0400	33.1700	28.0100	23.5200	19.6800	16.4300	13.6900
PD62052d	20	80	<11	false	50337604	2.5668	1.7500	0.0600	0	0	0	0	0	0	0	0	0	0	0	0	0
PD62053a	20	80	21+	true	50337604	72.3532	95.6100	85.3700	73.7200	62.6100	52.5600	43.8600	36.5400	30.5700	25.7100	21.8000	18.6100	15.9600	13.7600	11.8800	10.3000
PD62053b	20	80	11+	false	50337604	41.1055	90.9200	72.1900	53.9700	38.9700	27.6000	19.4900	13.9300	10.1000	7.4300	5.5200	4.1100	3.0700	2.2900	1.7000	1.2700
PD62053c	20	80	21+	true	50337604	49.8039	94.4200	80.1300	63.9800	49.5200	37.5400	28.1300	21.0100	15.7300	11.8600	9.0400	6.9500	5.3800	4.1900	3.2700	2.5500
PD62054a	20	80	21+	true	50337604	63.8848	95.7700	85.3900	72.8100	60.6900	49.8000	40.4300	32.6000	26.2100	21.0600	16.9900	13.7900	11.2400	9.2100	7.6000	6.3000
PD62054b	20	80	31+	true	50337604	80.0085	97.5400	91.6400	82.9400	73.3300	63.9000	55.0100	46.8700	39.5500	33.1300	27.5700	22.8200	18.8400	15.5400	12.8000	10.5500
PD62054c	20	80	11+	false	50337604	37.4692	88.7700	68.5500	49.8100	34.9100	23.9100	16.1900	10.9900	7.5300	5.2400	3.7000	2.6500	1.9200	1.4100	1.0500	0.7800
PD62055a	20	80	21+	true	50337604	62.2541	95.8000	85.9800	73.7600	61.7400	50.8200	41.2300	33.0400	26.2400	20.7100	16.2600	12.7500	10.0100	7.8700	6.2000	4.9000
PD62055b	20	80	11+	false	50337604	44.2354	91.1000	74.3300	57.4000	42.9500	31.7000	23.3400	17.2800	12.8600	9.6100	7.1900	5.3600	3.9700	2.9100	2.1300	1.5400
PD62055c	20	80	31+	true	50337604	89.7050	98.2100	93.6700	86.8800	79.0200	70.8600	62.7100	54.8500	47.4500	40.6100	34.4500	29.0100	24.2900	20.2800	16.8900	14.0300
PD62057a	20	80	21+	true	50337604	62.8787	95.4600	84.7500	72.0300	59.9100	49.1600	39.9100	32.1800	25.8400	20.7300	16.6500	13.4100	10.8400	8.8200	7.2200	5.9400
PD62057b	20	80	31+	true	50337604	89.4054	98.0400	93.5700	86.7600	78.7100	70.3100	62.0700	54.2300	46.9200	40.2500	34.2400	28.9400	24.3300	20.3600	16.9700	14.1100
PD62057c	20	80	11+	false	50337604	35.5754	91.6800	71.6100	50.7300	33.7400	21.3200	12.9600	7.6700	4.4900	2.6200	1.5400	0.9200	0.5600	0.3500	0.2300	0.1500
PD62058a	20	80	21+	true	50337604	75.5427	96.4600	88.9000	78.8600	68.2800	58.3300	49.4200	41.6500	34.9800	29.2900	24.4700	20.4700	17.1100	14.3000	11.9700	10.0100
PD62058b	20	80	21+	true	50337604	58.7810	95.3800	83.5700	69.9000	57.1000	45.7500	36.2100	28.5400	22.5300	17.8700	14.3000	11.5200	9.3100	7.5600	6.1600	5.0300
PD62058c	20	80	41+	true	50337604	105.2468	98.4400	95.1300	89.8800	83.3200	76.1900	69.0200	62.0700	55.4200	49.1900	43.3700	38	33.1200	28.7500	24.8500	21.4000
PD62059a	20	80	21+	true	50337604	56.7435	95.6600	83.8800	69.9600	56.6200	44.7500	34.9300	27.1700	21.2100	16.6400	13.1400	10.3900	8.2300	6.5100	5.1400	4.0500
PD62059b	20	80	11+	false	50337604	40.1152	88.4600	68.9300	51.0200	36.8500	26.3400	18.8400	13.5800	9.8800	7.3000	5.4700	4.1500	3.1800	2.4600	1.9200	1.5100
PD62059c	20	80	<11	false	50337604	4.7930	8.8900	0.7300	0.1000	0.0200	0	0	0	0	0	0	0	0	0	0	0
PD62059d	20	80	11+	false	50337604	33.9785	84.7900	62.0500	43.0200	29.1000	19.5200	13.2100	9.0800	6.3600	4.5200	3.2700	2.4000	1.7800	1.3400	1.0200	0.7800
PD62060a	20	80	31+	true	50337604	80.1193	96.8500	89.5300	80.3900	70.9400	61.6900	52.9700	45.0100	37.9800	31.9200	26.7800	22.4800	18.9200	15.9500	13.4900	11.4300
PD62060b	20	80	31+	true	50337604	83.5041	97.6200	91.8300	83.5000	74.4100	65.3800	56.8200	48.9200	41.7200	35.2700	29.6300	24.7800	20.6600	17.2100	14.3400	11.9600
PD62060c	20	80	31+	true	50337604	84.4321	97.4800	90.8000	81.8100	72.4700	63.4400	54.9400	47.1900	40.2500	34.1900	28.9700	24.5400	20.8100	17.7000	15.1100	12.9400
PD62061a	20	80	<11	false	50337604	0.1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD62061b	20	80	11+	false	50337604	43.7131	91.0200	73	55.5900	41.2900	30.2100	22.0400	16.1800	12.0400	9.1000	6.9700	5.3800	4.1700	3.2400	2.5300	1.9900
PD62061c	20	80	11+	false	50337604	41.1644	89.2000	69.4500	51.5100	37.4200	27.0500	19.6100	14.3700	10.7000	8.1000	6.2000	4.7900	3.7300	2.9200	2.3000	1.8300
PD62062a	20	80	21+	true	50337604	54.9841	94.3100	81.3400	66.9100	53.7400	42.4900	33.2400	25.8300	20	15.5300	12.1100	9.5200	7.5300	5.9900	4.8000	3.8700
PD62062b	20	80	<11	false	50337604	7.4528	22.9700	5.1700	1.3100	0.3400	0.1000	0.0300	0.0100	0	0	0	0	0	0	0	0
PD62062c	20	80	11+	false	50337604	45.6439	92.2100	76.0300	59.4000	45.0600	33.5400	24.6700	18.0200	13.1500	9.6600	7.1300	5.3000	3.9800	3.0100	2.3000	1.7600
PD62062d	20	80	11+	false	50337604	35.3685	86.9600	64.9400	45.8100	31.5300	21.4200	14.5400	9.9100	6.8000	4.7300	3.3200	2.3500	1.6900	1.2300	0.9000	0.6600
PD62062e	20	80	11+	false	50337604	43.0430	91.5200	74.0500	56.5400	41.9600	30.5500	21.9900	15.7400	11.2800	8.1200	5.9100	4.3300	3.2000	2.3800	1.7900	1.3600
PD62062f	20	80	11+	false	50337604	48.3505	93.4100	78.5100	62.4500	48.2600	36.5200	27.2500	20.1900	14.9300	11.0700	8.2700	6.2300	4.7300	3.6200	2.8000	2.1700
PD62062g	20	80	21+	true	50337604	49.6540	94.0100	80.0400	64.3900	50.2200	38.3500	28.7900	21.4000	15.8300	11.7200	8.7100	6.5300	4.9200	3.7500	2.8600	2.2000
PD62062h	20	80	11+	false	50337604	40.1156	91.1300	72.6100	54.0800	38.8300	27.2700	18.8700	12.9900	8.9700	6.2200	4.3400	3.0500	2.1700	1.5600	1.1200	0.8100
PD62062i	20	80	11+	false	50337604	37.2787	89.2100	68.3200	49.0300	34.1800	23.4900	16.0400	10.9400	7.5300	5.2300	3.6700	2.6200	1.9000	1.3900	1.0300	0.7700
PD62063a	20	80	<11	false	50337604	20.8746	72.5100	40.6900	21.0200	10.3600	5	2.4200	1.1900	0.6100	0.3100	0.1700	0.1000	0.0600	0.0300	0.0200	0.0100
PD62063b	20	80	<11	false	50337604	0.1283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD62063c	20	80	21+	true	50337604	55.1772	94.8400	82.6800	68.6300	55.5000	44.0200	34.3700	26.4900	20.3100	15.5300	11.8800	9.1300	7.0500	5.4600	4.2600	3.3500
PD62064a	20	80	31+	true	50337604	88.0985	98.2800	93.7900	86.5300	77.9500	69.1100	60.6200	52.6700	45.3800	38.7900	32.9200	27.7700	23.3200	19.5200	16.2800	13.5500
